source_file,output_file,doi
10-1111_jfpp-13524.pdf,10-1111_jfpp-13524.txt,
10-1111_jfpp-16218.pdf,10-1111_jfpp-16218.txt,
10-1111_jfpp-16764.pdf,10-1111_jfpp-16764.txt,
10-1186_s43014-021-00076-8.pdf,10-1186_s43014-021-00076-8.txt,
10-1515_ijfe-2015-0068.pdf,10-1515_ijfe-2015-0068.txt,10.1515/ijfe-2015-0068
10-1590_1678-457X-00817.pdf,10-1590_1678-457X-00817.txt,
10-1590_S1516-89132009000600027.pdf,10-1590_S1516-89132009000600027.txt,
10-1590_fst-03918.pdf,10-1590_fst-03918.txt,
10-3136_fstr-11-46.pdf,10-3136_fstr-11-46.txt,
10-3136_fstr-21-95.pdf,10-3136_fstr-21-95.txt,
10-3389_fnut-2021-782212.pdf,10-3389_fnut-2021-782212.txt,
10-3389_fnut-2022-852225.pdf,10-3389_fnut-2022-852225.txt,
10-3389_fnut-2025-1708593.pdf,10-3389_fnut-2025-1708593.txt,10.3389/fnut.2025.1708593
10-3390_app142411979.pdf,10-3390_app142411979.txt,
10-3390_biom10010153.pdf,10-3390_biom10010153.txt,
10-3390_biom11020178.pdf,10-3390_biom11020178.txt,
10-3390_foods10020281.pdf,10-3390_foods10020281.txt,
10-3390_foods10030667.pdf,10-3390_foods10030667.txt,10.3390/foods10030667
10-3390_foods11101373.pdf,10-3390_foods11101373.txt,10.3390/foods11101373
10-3390_foods11192954.pdf,10-3390_foods11192954.txt,
10-3390_foods12142805.pdf,10-3390_foods12142805.txt,
10-3390_foods13050738.pdf,10-3390_foods13050738.txt,10.3390/foods13050738
10-3390_foods13244004.pdf,10-3390_foods13244004.txt,
10-3390_foods8120678.pdf,10-3390_foods8120678.txt,
10-3390_foods9081077.pdf,10-3390_foods9081077.txt,
10-3390_gels11120971.pdf,10-3390_gels11120971.txt,
10-3390_gels9020091.pdf,10-3390_gels9020091.txt,10.3390/gels9020091
10-3390_ijms13021561.pdf,10-3390_ijms13021561.txt,
10-3390_ijms242015371.pdf,10-3390_ijms242015371.txt,
10-3390_macromol5010003.pdf,10-3390_macromol5010003.txt,10.3390/macromol5010003
10-3390_molecules23020393.pdf,10-3390_molecules23020393.txt,
10-3390_molecules27186110.pdf,10-3390_molecules27186110.txt,10.3390/molecules27186110
10-5433_1679-0359-2025v46n3p675.pdf,10-5433_1679-0359-2025v46n3p675.txt,10.5433/1679-0359.2025v46n3p675
gels-11-00971.pdf,10-3390_gels11120971.txt,10.3390/gels11120971
