entity_name,majority_type,majority_share,near_tie_flag,type_breakdown,resolved_type,resolution_source,confidence,rationale
citric acid precipitation,extraction_method,0.727,False,extraction_method=16; material_used_directly=6,extraction_method,majority_vote,,
hardness,rheological_property,0.732,False,rheological_property=60; functional_property=22,rheological_property,majority_vote,,
cohesiveness,rheological_property,0.741,False,rheological_property=20; functional_property=7,rheological_property,majority_vote,,
solubility index,functional_property,0.75,False,functional_property=3; physicochemical_property=1,functional_property,majority_vote,,
protein-water interactions,functional_property,0.75,False,functional_property=3; physicochemical_property=1,functional_property,majority_vote,,
breaking force,functional_property,0.75,False,functional_property=12; rheological_property=4,functional_property,majority_vote,,
hygroscopicity,physicochemical_property,0.75,False,physicochemical_property=3; functional_property=1,physicochemical_property,majority_vote,,
protein extraction,physicochemical_property,0.769,False,physicochemical_property=10; extraction_method=3,physicochemical_property,majority_vote,,
soaking-cooking,extraction_method,0.769,False,extraction_method=10; modification_method=3,extraction_method,majority_vote,,
sulfhydryl group content,structural_property,0.769,False,structural_property=10; physicochemical_property=3,structural_property,majority_vote,,
spray drying,modification_method,0.772,False,modification_method=78; material_used_directly=23,modification_method,majority_vote,,
freeze drying,modification_method,0.776,False,modification_method=90; material_used_directly=26,modification_method,majority_vote,,
interfacial tension,functional_property,0.778,False,functional_property=7; physicochemical_property=2,functional_property,majority_vote,,
isoelectric precipitation,extraction_method,0.784,False,extraction_method=29; material_used_directly=8,extraction_method,majority_vote,,
ultrasound,modification_method,0.786,False,modification_method=11; material_used_directly=3,modification_method,majority_vote,,
springiness,rheological_property,0.789,False,rheological_property=15; functional_property=4,rheological_property,majority_vote,,
high-pressure processing,modification_method,0.8,False,modification_method=8; material_used_directly=2,modification_method,majority_vote,,
mechanical pressing,extraction_method,0.8,False,extraction_method=4; material_used_directly=1,extraction_method,majority_vote,,
SP-207 resin washing,extraction_method,0.8,False,extraction_method=8; material_used_directly=2,extraction_method,majority_vote,,
rheological properties,rheological_property,0.8,False,rheological_property=4; functional_property=1,rheological_property,majority_vote,,
foam density,functional_property,0.8,False,functional_property=4; rheological_property=1,functional_property,majority_vote,,
elastic modulus,functional_property,0.8,False,functional_property=8; rheological_property=2,functional_property,majority_vote,,
shear thinning behavior,rheological_property,0.8,False,rheological_property=4; functional_property=1,rheological_property,majority_vote,,
amino acid composition,physicochemical_property,0.8,False,physicochemical_property=4; structural_property=1,physicochemical_property,majority_vote,,
breaking strength,rheological_property,0.8,False,rheological_property=4; functional_property=1,rheological_property,majority_vote,,
surface tension,functional_property,0.812,False,functional_property=13; physicochemical_property=3,functional_property,majority_vote,,
viscosity,rheological_property,0.826,False,rheological_property=38; functional_property=8,rheological_property,majority_vote,,
protein composition,physicochemical_property,0.833,False,physicochemical_property=5; material_used_directly=1,physicochemical_property,majority_vote,,
disulfide bond content,structural_property,0.842,False,structural_property=16; physicochemical_property=3,structural_property,majority_vote,,
acid extraction,extraction_method,0.846,False,extraction_method=22; material_used_directly=4,extraction_method,majority_vote,,
HP-20 resin washing,extraction_method,0.846,False,extraction_method=11; modification_method=1; material_used_directly=1,extraction_method,majority_vote,,
loss modulus,rheological_property,0.846,False,rheological_property=11; functional_property=2,rheological_property,majority_vote,,
H2O2 oxidation,modification_method,0.857,False,modification_method=6; material_used_directly=1,modification_method,majority_vote,,
protein concentration,modification_method,0.857,False,modification_method=18; physicochemical_property=3,modification_method,majority_vote,,
cellulase and xylanase cocktail-assisted alkaline extraction,extraction_method,0.857,False,extraction_method=6; material_used_directly=1,extraction_method,majority_vote,,
CaCl2 addition,modification_method,0.857,False,modification_method=6; material_used_directly=1,modification_method,majority_vote,,
Pea protein isolate and Ficus awkeotsang Makino pectin composite formulation,material_used_directly,0.857,False,material_used_directly=6; structural_property=1,material_used_directly,majority_vote,,
XAD-16N resin washing,extraction_method,0.857,False,extraction_method=12; modification_method=1; material_used_directly=1,extraction_method,majority_vote,,
fracture stress,rheological_property,0.857,False,rheological_property=6; functional_property=1,rheological_property,majority_vote,,
molecular weight,structural_property,0.867,False,structural_property=13; physicochemical_property=2,structural_property,majority_vote,,
DH90 soy peptide addition,modification_method,0.875,False,modification_method=7; material_used_directly=1,modification_method,majority_vote,,
gellan gum and sodium chloride,material_used_directly,0.875,False,material_used_directly=7; modification_method=1,material_used_directly,majority_vote,,
large protein aggregates,structural_property,0.875,False,structural_property=7; material_used_directly=1,structural_property,majority_vote,,
n-hexane extraction,material_used_directly,0.875,False,material_used_directly=14; extraction_method=2,material_used_directly,majority_vote,,
"2,2'-azobis(2-amidinopropane) dihydrochloride oxidation",modification_method,0.882,False,modification_method=15; material_used_directly=2,modification_method,majority_vote,,
cold pressing,extraction_method,0.886,False,extraction_method=31; material_used_directly=4,extraction_method,majority_vote,,
albumin protein fraction,material_used_directly,0.889,False,material_used_directly=16; physicochemical_property=2,material_used_directly,majority_vote,,
transglutaminase treatment,modification_method,0.889,False,modification_method=8; material_used_directly=1,modification_method,majority_vote,,
Soy protein isolates-Walnut protein co-assembly,material_used_directly,0.9,False,material_used_directly=9; modification_method=1,material_used_directly,majority_vote,,
pre-heating,modification_method,0.9,False,modification_method=9; material_used_directly=1,modification_method,majority_vote,,
alkaline extraction,extraction_method,0.902,False,extraction_method=74; material_used_directly=8,extraction_method,majority_vote,,
deamidation,modification_method,0.906,False,modification_method=58; material_used_directly=6,modification_method,majority_vote,,
apparent viscosity,rheological_property,0.907,False,rheological_property=39; functional_property=4,rheological_property,majority_vote,,
alkaline hydrogen peroxide extraction,extraction_method,0.909,False,extraction_method=30; material_used_directly=3,extraction_method,majority_vote,,
papain hydrolysis,modification_method,0.912,False,modification_method=31; material_used_directly=3,modification_method,majority_vote,,
high-pressure-assisted extraction,extraction_method,0.913,False,extraction_method=21; material_used_directly=2,extraction_method,majority_vote,,
calcium-induced gelation ,modification_method,0.919,False,modification_method=34; functional_property=3,modification_method,majority_vote,,
ultraviolet radiation,modification_method,0.919,False,modification_method=57; material_used_directly=5,modification_method,majority_vote,,
cellulase and xylanase pretreatment,modification_method,0.923,False,modification_method=12; material_used_directly=1,modification_method,majority_vote,,
gel hardness,functional_property,0.926,False,functional_property=25; rheological_property=2,functional_property,majority_vote,,
malondialdehyde oxidation,modification_method,0.929,False,modification_method=13; material_used_directly=1,modification_method,majority_vote,,
gumminess,rheological_property,0.929,False,rheological_property=13; functional_property=1,rheological_property,majority_vote,,
dry fractionation,extraction_method,0.933,False,extraction_method=14; material_used_directly=1,extraction_method,majority_vote,,
bulk density,physicochemical_property,0.933,False,physicochemical_property=14; functional_property=1,physicochemical_property,majority_vote,,
globulin fraction,material_used_directly,0.938,False,material_used_directly=15; physicochemical_property=1,material_used_directly,majority_vote,,
acylation,modification_method,0.939,False,modification_method=31; material_used_directly=2,modification_method,majority_vote,,
acetylation,modification_method,0.939,False,modification_method=93; material_used_directly=6,modification_method,majority_vote,,
cooking,modification_method,0.941,False,modification_method=16; material_used_directly=1,modification_method,majority_vote,,
protein glutaminase-mediated deamidation,modification_method,0.944,False,modification_method=17; material_used_directly=1,modification_method,majority_vote,,
protein-polysaccharide conjugation,modification_method,0.947,False,modification_method=18; material_used_directly=1,modification_method,majority_vote,,
phosphorylation,modification_method,0.948,False,modification_method=92; material_used_directly=5,modification_method,majority_vote,,
alkali extraction,extraction_method,0.95,False,extraction_method=19; material_used_directly=1,extraction_method,majority_vote,,
ohmic heating,modification_method,0.955,False,modification_method=64; material_used_directly=3,modification_method,majority_vote,,
Alcalase hydrolysis,modification_method,0.956,False,modification_method=43; material_used_directly=2,modification_method,majority_vote,,
protein denaturation and unfolding,structural_property,0.957,False,structural_property=44; modification_method=2,structural_property,majority_vote,,
alkaline extraction with isoelectric precipitation,extraction_method,0.966,False,extraction_method=28; material_used_directly=1,extraction_method,majority_vote,,
gel strength,functional_property,0.966,False,functional_property=57; rheological_property=2,functional_property,majority_vote,,
chewiness,rheological_property,0.966,False,rheological_property=28; functional_property=1,rheological_property,majority_vote,,
high-pressure homogenization,modification_method,0.967,False,modification_method=148; material_used_directly=5,modification_method,majority_vote,,
denaturation temperature,structural_property,0.968,False,structural_property=30; physicochemical_property=1,structural_property,majority_vote,,
ultrasound-assisted extraction,extraction_method,0.968,False,extraction_method=60; material_used_directly=2,extraction_method,majority_vote,,
trypsin hydrolysis,modification_method,0.969,False,modification_method=95; material_used_directly=3,modification_method,majority_vote,,
acidification,modification_method,0.969,False,modification_method=31; extraction_method=1,modification_method,majority_vote,,
alkaline hydrogen peroxide extraction with ultrasound treatment,extraction_method,0.97,False,extraction_method=32; material_used_directly=1,extraction_method,majority_vote,,
cold plasma processing,modification_method,0.974,False,modification_method=37; material_used_directly=1,modification_method,majority_vote,,
succinylation,modification_method,0.977,False,modification_method=85; material_used_directly=2,modification_method,majority_vote,,
ultrasonication,modification_method,0.978,False,modification_method=351; material_used_directly=8,modification_method,majority_vote,,
pepsin hydrolysis,modification_method,0.982,False,modification_method=55; material_used_directly=1,modification_method,majority_vote,,
thermal treatment,modification_method,0.988,False,modification_method=79; material_used_directly=1,modification_method,majority_vote,,
pH shifting treatment,modification_method,0.989,False,modification_method=184; material_used_directly=2,modification_method,majority_vote,,
heat treatment,modification_method,0.993,False,modification_method=143; material_used_directly=1,modification_method,majority_vote,,
