entity_name,total_occurrences,type_breakdown,majority_type,majority_share,near_tie_flag
gel firmness,6,functional_property=4; rheological_property=2,functional_property,0.667,False
total sulfhydryl groups,6,structural_property=4; physicochemical_property=2,structural_property,0.667,False
porosity,3,structural_property=2; physicochemical_property=1,structural_property,0.667,False
complex viscosity,3,functional_property=2; rheological_property=1,functional_property,0.667,False
degree of phosphorylation,3,modification_method=2; physicochemical_property=1,modification_method,0.667,False
stability,3,structural_property=2; functional_property=1,structural_property,0.667,False
elasticity,12,rheological_property=8; functional_property=4,rheological_property,0.667,False
storage modulus,92,rheological_property=63; functional_property=29,rheological_property,0.685,False
defatting treatment,109,modification_method=75; extraction_method=32; material_used_directly=2,modification_method,0.688,False
sucrose addition,24,modification_method=17; material_used_directly=7,modification_method,0.708,False
arabinofuranosidase-assisted alkaline extraction,7,extraction_method=5; material_used_directly=2,extraction_method,0.714,False
hydrophilicity,7,physicochemical_property=5; functional_property=2,physicochemical_property,0.714,False
citric acid precipitation,22,extraction_method=16; material_used_directly=6,extraction_method,0.727,False
hardness,82,rheological_property=60; functional_property=22,rheological_property,0.732,False
cohesiveness,27,rheological_property=20; functional_property=7,rheological_property,0.741,False
solubility index,4,functional_property=3; physicochemical_property=1,functional_property,0.75,False
protein-water interactions,4,functional_property=3; physicochemical_property=1,functional_property,0.75,False
breaking force,16,functional_property=12; rheological_property=4,functional_property,0.75,False
hygroscopicity,4,physicochemical_property=3; functional_property=1,physicochemical_property,0.75,False
protein extraction,13,physicochemical_property=10; extraction_method=3,physicochemical_property,0.769,False
soaking-cooking,13,extraction_method=10; modification_method=3,extraction_method,0.769,False
sulfhydryl group content,13,structural_property=10; physicochemical_property=3,structural_property,0.769,False
spray drying,101,modification_method=78; material_used_directly=23,modification_method,0.772,False
freeze drying,116,modification_method=90; material_used_directly=26,modification_method,0.776,False
interfacial tension,9,functional_property=7; physicochemical_property=2,functional_property,0.778,False
isoelectric precipitation,37,extraction_method=29; material_used_directly=8,extraction_method,0.784,False
ultrasound,14,modification_method=11; material_used_directly=3,modification_method,0.786,False
springiness,19,rheological_property=15; functional_property=4,rheological_property,0.789,False
high-pressure processing,10,modification_method=8; material_used_directly=2,modification_method,0.8,False
mechanical pressing,5,extraction_method=4; material_used_directly=1,extraction_method,0.8,False
SP-207 resin washing,10,extraction_method=8; material_used_directly=2,extraction_method,0.8,False
rheological properties,5,rheological_property=4; functional_property=1,rheological_property,0.8,False
foam density,5,functional_property=4; rheological_property=1,functional_property,0.8,False
elastic modulus,10,functional_property=8; rheological_property=2,functional_property,0.8,False
shear thinning behavior,5,rheological_property=4; functional_property=1,rheological_property,0.8,False
amino acid composition,5,physicochemical_property=4; structural_property=1,physicochemical_property,0.8,False
breaking strength,5,rheological_property=4; functional_property=1,rheological_property,0.8,False
surface tension,16,functional_property=13; physicochemical_property=3,functional_property,0.812,False
viscosity,46,rheological_property=38; functional_property=8,rheological_property,0.826,False
protein composition,6,physicochemical_property=5; material_used_directly=1,physicochemical_property,0.833,False
disulfide bond content,19,structural_property=16; physicochemical_property=3,structural_property,0.842,False
acid extraction,26,extraction_method=22; material_used_directly=4,extraction_method,0.846,False
HP-20 resin washing,13,extraction_method=11; modification_method=1; material_used_directly=1,extraction_method,0.846,False
loss modulus,13,rheological_property=11; functional_property=2,rheological_property,0.846,False
H2O2 oxidation,7,modification_method=6; material_used_directly=1,modification_method,0.857,False
protein concentration,21,modification_method=18; physicochemical_property=3,modification_method,0.857,False
cellulase and xylanase cocktail-assisted alkaline extraction,7,extraction_method=6; material_used_directly=1,extraction_method,0.857,False
CaCl2 addition,7,modification_method=6; material_used_directly=1,modification_method,0.857,False
Pea protein isolate and Ficus awkeotsang Makino pectin composite formulation,7,material_used_directly=6; structural_property=1,material_used_directly,0.857,False
XAD-16N resin washing,14,extraction_method=12; modification_method=1; material_used_directly=1,extraction_method,0.857,False
fracture stress,7,rheological_property=6; functional_property=1,rheological_property,0.857,False
molecular weight,15,structural_property=13; physicochemical_property=2,structural_property,0.867,False
DH90 soy peptide addition,8,modification_method=7; material_used_directly=1,modification_method,0.875,False
gellan gum and sodium chloride,8,material_used_directly=7; modification_method=1,material_used_directly,0.875,False
large protein aggregates,8,structural_property=7; material_used_directly=1,structural_property,0.875,False
n-hexane extraction,16,material_used_directly=14; extraction_method=2,material_used_directly,0.875,False
"2,2'-azobis(2-amidinopropane) dihydrochloride oxidation",17,modification_method=15; material_used_directly=2,modification_method,0.882,False
cold pressing,35,extraction_method=31; material_used_directly=4,extraction_method,0.886,False
albumin protein fraction,18,material_used_directly=16; physicochemical_property=2,material_used_directly,0.889,False
transglutaminase treatment,9,modification_method=8; material_used_directly=1,modification_method,0.889,False
Soy protein isolates-Walnut protein co-assembly,10,material_used_directly=9; modification_method=1,material_used_directly,0.9,False
pre-heating,10,modification_method=9; material_used_directly=1,modification_method,0.9,False
alkaline extraction,82,extraction_method=74; material_used_directly=8,extraction_method,0.902,False
deamidation,64,modification_method=58; material_used_directly=6,modification_method,0.906,False
apparent viscosity,43,rheological_property=39; functional_property=4,rheological_property,0.907,False
alkaline hydrogen peroxide extraction,33,extraction_method=30; material_used_directly=3,extraction_method,0.909,False
papain hydrolysis,34,modification_method=31; material_used_directly=3,modification_method,0.912,False
high-pressure-assisted extraction,23,extraction_method=21; material_used_directly=2,extraction_method,0.913,False
calcium-induced gelation ,37,modification_method=34; functional_property=3,modification_method,0.919,False
ultraviolet radiation,62,modification_method=57; material_used_directly=5,modification_method,0.919,False
cellulase and xylanase pretreatment,13,modification_method=12; material_used_directly=1,modification_method,0.923,False
gel hardness,27,functional_property=25; rheological_property=2,functional_property,0.926,False
malondialdehyde oxidation,14,modification_method=13; material_used_directly=1,modification_method,0.929,False
gumminess,14,rheological_property=13; functional_property=1,rheological_property,0.929,False
dry fractionation,15,extraction_method=14; material_used_directly=1,extraction_method,0.933,False
bulk density,15,physicochemical_property=14; functional_property=1,physicochemical_property,0.933,False
globulin fraction,16,material_used_directly=15; physicochemical_property=1,material_used_directly,0.938,False
acylation,33,modification_method=31; material_used_directly=2,modification_method,0.939,False
acetylation,99,modification_method=93; material_used_directly=6,modification_method,0.939,False
cooking,17,modification_method=16; material_used_directly=1,modification_method,0.941,False
protein glutaminase-mediated deamidation,18,modification_method=17; material_used_directly=1,modification_method,0.944,False
protein-polysaccharide conjugation,19,modification_method=18; material_used_directly=1,modification_method,0.947,False
phosphorylation,97,modification_method=92; material_used_directly=5,modification_method,0.948,False
alkali extraction,20,extraction_method=19; material_used_directly=1,extraction_method,0.95,False
ohmic heating,67,modification_method=64; material_used_directly=3,modification_method,0.955,False
Alcalase hydrolysis,45,modification_method=43; material_used_directly=2,modification_method,0.956,False
protein denaturation and unfolding,46,structural_property=44; modification_method=2,structural_property,0.957,False
alkaline extraction with isoelectric precipitation,29,extraction_method=28; material_used_directly=1,extraction_method,0.966,False
gel strength,59,functional_property=57; rheological_property=2,functional_property,0.966,False
chewiness,29,rheological_property=28; functional_property=1,rheological_property,0.966,False
high-pressure homogenization,153,modification_method=148; material_used_directly=5,modification_method,0.967,False
denaturation temperature,31,structural_property=30; physicochemical_property=1,structural_property,0.968,False
ultrasound-assisted extraction,62,extraction_method=60; material_used_directly=2,extraction_method,0.968,False
trypsin hydrolysis,98,modification_method=95; material_used_directly=3,modification_method,0.969,False
acidification,32,modification_method=31; extraction_method=1,modification_method,0.969,False
alkaline hydrogen peroxide extraction with ultrasound treatment,33,extraction_method=32; material_used_directly=1,extraction_method,0.97,False
cold plasma processing,38,modification_method=37; material_used_directly=1,modification_method,0.974,False
succinylation,87,modification_method=85; material_used_directly=2,modification_method,0.977,False
ultrasonication,359,modification_method=351; material_used_directly=8,modification_method,0.978,False
pepsin hydrolysis,56,modification_method=55; material_used_directly=1,modification_method,0.982,False
thermal treatment,80,modification_method=79; material_used_directly=1,modification_method,0.988,False
pH shifting treatment,186,modification_method=184; material_used_directly=2,modification_method,0.989,False
heat treatment,144,modification_method=143; material_used_directly=1,modification_method,0.993,False
