name,occurrence_count
exposure of hydrophobic groups on the protein surface,1
exposure of tryptophan and tyrosine,1
extracted protein content,1
extracted total phenol,3
fat content,28
fiber content,5
final pH,3
formic acid production,1
free amine content,5
free amine group content,2
free amino acid concentration,1
free amino group content,7
free amino groups,1
free calcium ion concentration,1
free carbonyl content,1
free fatty acid content,1
free sulfhydryl group exposure,2
free water content,3
free water proportion,1
fructose concentration,2
galactose concentration,1
globulin content,1
glucose concentration,2
glucose content,1
glucosinolate content,1
glutamate concentration,1
glutamate content,2
glutamic acid content,4
glutelin as the predominant protein fraction,1
glutelin content,1
glycation,3
glycation degree,2
glycine content,4
grafting degree,6
gross yield,1
hexanoic acid content,1
high gluten content,1
high molecular weight protein globulin,1
histidine content,2
hydrocarbons,3
hydrodynamic radius,6
hydrogen peroxide concentration,1
hydrolysate yield,2
hydrophilicity,7
hydrophobic amino acid content,2
hydrophobicity,64
hydrophobicity index,7
hydroxyproline content,1
hygroscopicity,4
immobilized water fraction,2
immobilized water proportion,1
immobilized-water content,1
increased fat content,1
increased particle size,7
initial contact angle,1
intensity of oxidation products,1
intrinsic viscosity,1
ionic strength,16
ionic strength adjustment,12
iron content,1
isoelectric point,10
isoelectric point prominence,1
isoleucine content,1
lag phase duration,1
larger granules,1
legumin proportion,1
leucine content,1
light transmittance,1
limiting amino acids,1
lipid concentration,1
lipid content,15
lipid oxidation,4
low molecular weight proteins,1
low water solubility,1
lysine content,3
malic acid concentration,2
maltose concentration,2
mass loss,2
mass of uncategorized material,1
mass yield,4
mean droplet diameter,3
methionine content,1
migration of bound water into the gel network,1
mineral content,1
mineral profile,1
moisture,2
moisture content,28
moisture sorption isotherms,1
molecular size,1
molecular weight modification,1
monomodal particle size distribution,1
native pH,6
negative surface charge,4
net charge,2
net negative charge,1
nitrate concentration,1
nitriles,1
"non-volatile compounds, including sinapine and glucosinolates",1
off-color pigments,1
oil content,1
oil droplet size,1
oil-weight fraction,9
oligosaccharide concentration,1
organ weight and organ-to-body ratio,1
ozone concentration,1
pH,22
pH at gelation onset,1
pH conditions,7
pH variation,16
particle density,2
particle fragmentation,3
particle size,186
particle size distribution,4
percentage of fine-sized particles,2
percentage of medium- and coarse-sized particles,1
phase separation,2
phenolic compounds,1
phenolic content,4
phenylalanine content,2
phosphorus content,3
physicochemical properties,3
physicochemical properties and functionalities,1
polydispersity index,7
polyunsaturated fatty acid content,1
positive correlation between solubility and interfacial tension,1
potassium content,2
"potassium, calcium and magnesium contents",1
"potassium, calcium, magnesium and zinc contents",1
primary protein fractions,1
proline content,2
proportion of A-11S,1
proportion of A-11S polypeptide,1
proportion of B-11S,1
proportion of B-11S polypeptides,1
proportion of free water,1
proportion of immobilized water,1
proportion of α-7S and α′-7S subunits,1
proportion of β-7S subunit,1
protein aggregate size,1
"protein bands with molecular weights of 28,973, 25,915, 23,180, 16,589, 14,839, and 13,273 Da",1
protein carbonyl,1
protein carbonyl content,1
protein carbonylation,1
protein composition,4
protein content,142
protein extractability,8
protein extraction,13
protein extraction rate,6
protein extraction yield,24
protein fraction content,4
protein particle and aggregate height,1
protein purity,11
protein recovery,31
protein recovery measurement,4
protein solubility and surface hydrophobicity,1
protein surface hydrophobicity,3
protein yield,40
proximate composition,1
quantum yield of fluorescence,1
rapid diffusion and adsorption at the air-water interface,1
ratio of free sulphydryl groups to total sulphydryl groups,1
ratio of free to bound phenolics,1
reducing sugar content,1
reducing sugar increase,1
reducing sugars,4
relative hydrophobicity,1
restricted water content,3
rough surface,1
salt concentration,16
saturated fatty acid content,1
seed volume,1
seed weight,2
segregative phase separation,1
serine content,1
"serine, histidine, arginine, threonine, proline, alanine, cysteine, tyrosine, valine, methionine, lysine, isoleucine, leucine, and phenylalanine content",1
sinapine content,1
sodium content,3
solubility and surface hydrophobicity,1
solubilized protein content in a dithiothreitol extractant,1
soluble dietary fiber extraction rate,9
soluble dietary fibre,1
soluble dietary fibre content,3
soluble protein,1
soluble protein concentration,1
soluble protein fraction to insoluble fraction ratio,2
specific surface area,1
specific volume,4
starch content,7
succinic acid concentration,1
sucrose content,2
sugar content,1
sulfur compound concentration,1
sulfur-containing amino acid content,1
sum of individual amino acid contents,1
surface area,4
surface charge,9
surface charge potential,1
surface hydrophobicity,194
surface hydrophobicity (H0-1-anilino-8-naphthalene-sulfonate (ANS)),3
surface hydrophobicity alterations,1
surface negative charge,1
surface net charge,1
surface potential,1
surface sulfhydryl groups,1
temperature,5
terpene concentration,1
three-phase contact angle,2
threonine content,1
time,1
titratable acidity,2
titratable acidity decrease,1
total aldehyde concentration,1
total amino acid content,2
total ash content,1
total carbohydrate content,3
total dietary fibre,3
total dissolved solids,2
total fiber content,1
total flavonoid content,2
total organic acid concentration,2
total phenolic content,2
total protein,1
total protein content,5
total protein yield,1
total solid loss,1
total soluble solids,1
total soluble solids increase,1
total starch content,1
total sugar content,1
total sugar increase,1
trace element content,1
tryptophan exposure,2
turbidity,22
tyrosine content,1
unique protein profile,1
valine content,1
vicilin concentration,1
vicilin proteins and small peptides,1
volume mean diameter,1
water activity,6
water content,1
water distribution,3
water entrapment in protein structures,1
water mobility,3
water-protein interactions,1
weight loss,11
zeta potential,109
zeta potential magnitude,2
