name,occurrence_count
compact and homogeneous network structure,1
compact gel network,3
compact gel structure with thicker pore walls,1
compact microstructure,1
compact structure,1
compact structures,1
"compact, aggregated morphology",2
composite-like microstructure with super-concentrated protein gel microdomains,1
concentration of protein bodies,1
conclusion gelatinization temperature,1
conformation transition,1
conformational changes,2
conformational structural modifications,1
conformational unfolding,1
continuous and cohesive network structure,1
conversion of predominant protein bands from dimers to monomers,1
covalent binding between amino and carbonyl groups,1
covalent bonding with fenugreek gum,1
covalent bonds besides disulphide bonds,1
covalent bonds between gel networks,1
covalent or non-covalent interactions between proteins,1
cross-linked network with large pores,1
cross-linking between protein molecules,1
crosslinked structures,1
crosslinking of hydrophilic alpha- and hydrophobic beta-polypeptides into large polymers,1
crystal structure,1
crystallinity,3
crystallinity of pea starch,1
decomposition temperature,1
degradation of 75 kDa disulfide-bound high-molecular-weight protein,1
degradation of an 80 kDa protein,2
degradation of low molecular weight protein fractions,1
degradation of major proteins,1
degradation of proteins with molecular weight of 72 and 65 kDa,1
"degradation of proteins with molecular weight of 80, 85 and 95 kDa",1
degree of denaturation,2
denaturation enthalpy,12
denaturation of the 7S globulin fraction,1
denaturation peak temperature,1
denaturation peaks,1
denaturation temperature,31
denatured β-sheet content,1
dense network structure,1
denser and finer gel network,2
denser and more continuous three-dimensional structure,1
denser filler-type three-dimensional network structure,1
denser gel structure,1
denser network with smaller pores,1
denser pore structure,1
denser protein clusters,1
destruction of the three-dimensional gel network structure,1
detectability of 12S proteins,1
differential scanning calorimetry thermal parameters,20
diffraction intensity,2
dimer disruption,1
disappearance of 72–95 kDa protein bands,1
disappearance of α- and β-prolamin bands,1
disordered conformation,1
disordered gel structure,1
disordered molecular structure,1
disordered protein structure,1
disordered secondary structure,3
disordered structures,1
disordered structures and irregular fragments,1
disordered β-corner and irregular coil structures,1
dispersed microstructures,1
disrupted morphology,2
disrupted protein interactions,1
disruption of interactions between protein molecules,1
disruption of non-covalent bonds,2
disruption of the cell wall matrix,1
dissociation of arachin and conarachin II bands,1
disulfide bond content,19
disulfide bond cross-linking,2
disulfide bond formation,1
disulfide bond interactions,1
disulfide bonds,7
disulfide groups,2
disulphide bond formation,4
electrophoretic patterns,1
elementary protein particle homogeneity,1
emission maximum wavelength,4
emission wavelength,1
end set temperature,1
endothermic peak temperature and endothermic peaks,3
endset temperature,1
enhanced gel network structure and stability,1
enthalpy,18
enthalpy change,8
enthalpy of thermal denaturation,1
etching phenomena,1
exposed sulfhydryl groups,2
exposure of hydrophilic regions or residues,2
exposure of tryptophan residues,1
extent of lysine modification,2
fiber network structure,1
finer and more uniform network structure,2
flocculent aggregates,1
fluffy honeycomb structure with pores,2
fluorescence intensity,60
fluorescence intensity of aromatic amino acid residues,1
folded conformation,1
formation of covalent and non-covalent bonds,1
formation of disulfide-linked large aggregates and polymers,2
"formation of new aldehydes, ketones, and carboxylic acids",2
fourier-transform infrared spectroscopy frequency shifts,1
fourier-transform infrared spectroscopy peak at ∼2939 cm−1,1
fourier-transform infrared spectroscopy peak intensity at ∼1107 cm−1,1
fourier-transform infrared spectroscopy peak intensity at ∼996 and ∼1018 cm−1,1
fourier-transform infrared spectroscopy peak intensity between 1244 and 1429 cm−1,1
fourier-transform infrared spectroscopy peaks at ∼1018 and ∼1107 cm−1,1
fourier-transform infrared spectroscopy spectral changes at amide I and hydroxyl group bands,1
fourier-transform infrared spectroscopy-attenuated total reflectance spectral intensity in the 3200–3400 cm−1 range,1
"fragmented, irregular, wrinkled, and porous particle morphology",1
free reactive thiol groups,1
free sulfhydryl concentration,1
free sulfhydryl content,40
free sulfhydryl group content,57
free thiol groups,1
functional groups,3
gel formation temperature,1
gel microstructure assessment,2
gel network,1
gel network random aggregation,1
gel network structure,2
gel pore enlargement,1
gel voids and roughness,1
gel-like network structure,1
gel-network microstructure,2
gelation temperature,3
glass transition temperature,2
glass-like morphology,1
glass-like structures with rough surfaces and cavities,1
globular protein particles,1
heat coagulability,1
helical structural changes,1
heterogeneity in gel microstructure,1
heterogeneous sheet structures,2
heterogeneously-sized protein aggregates,2
hierarchical structural transitions,1
high molecular weight protein aggregates,5
high thermal stability,1
high-molecular-weight smearing,1
high-molecular-weight sodium dodecyl sulfate-PAGE band intensity,1
high-molecular-weight streaking,1
highly aggregated state,1
holes in the protein matrix,1
homogeneous and dense network structure,1
homogeneous fine-stranded gel networks,1
homogenous microstructure,1
hydrogen bond content,1
hydrogen bond formation,1
hydrogen bond strength,1
hydrogen bonding,5
hydrogen bonding intensity,1
hydrogen bonding interactions,1
hydrogen bonds,8
hydrogen bonds in the gel network,1
hydrophobic interactions,7
hydrophobic interactions and hydrogen bonding,1
hydrophobic interactions between Ficus awkeotsang Makino pectin and Pea protein isolate,1
hydroxyl group vibration peak broadening,1
individual subunit structure,1
infrared absorbance,2
insoluble protein-polyphenol aggregates,1
intact and native protein state,1
intensity of 63 and 40 kDa protein bands,1
intensity of 65 and 30 kDa protein bands,1
intensity of protein bands below 20 kDa,3
intensity of small peptide bands soluble in 10% trichloroacetic acid,1
inter-aggregate connectivity,1
interaction between Ficus awkeotsang Makino pectin and Pea protein isolate,2
intermediate conformational accessibility,1
intermolecular beta-sheet aggregates,4
intermolecular beta-sheet components,1
intermolecular interactions through disulfide bridging,2
intra-aggregate interactions,1
intramolecular hydrogen bonds,1
intrinsic fluorescence intensity,3
ionic bonds,4
irregular melt conformations,1
irreversible conformational change,1
irreversible protein denaturation,1
irreversible protein unfolding,1
irreversible thermal transitions,1
lamellar architectures,1
lamellar stacking structure,1
large protein aggregates,8
large protein polymers,1
larger aggregates,3
legumin-to-vicilin ratio,8
less dense and organized structure,1
less ordered protein structure,1
less ordered structure,1
less porous protein network,1
liberation of protein subunits,1
lipid droplet inclusions,1
lipoxygenase band intensity,1
localized protein aggregation,1
loose and porous surface morphology,2
loose structure,1
"loose structure, rough surface, larger pores, and poorer stability",1
loosen matrix structure,1
loosened molecular conformation,1
loss of protein matrix compaction,1
low-molecular-weight sodium dodecyl sulfate-PAGE band intensity,1
macromolecular aggregation,1
macromolecular polymers or insoluble aggregates,1
major protein bands,1
major protein structures,1
maximum absorption wavelength,1
maximum degradation temperature,2
maximum emission wavelength,5
maximum fluorescence absorption wavelength,1
maximum fluorescence absorption wavelength red shift,1
maximum fluorescence emission wavelength,1
maximum fluorescence intensity,2
maximum tryptophan fluorescence intensity,1
medium molecular weight polypeptides,1
melting temperature,2
microglobular protein structure,1
microstructure,6
microstructure disruption,1
minor conformational changes,1
mixed network structure with random aggregates and fine-structure regions,1
molecular aggregation and steric hindrance effects,1
molecular bands,1
molecular flexibility,3
molecular mass distribution,2
molecular size distribution,2
molecular weight,14
molecular weight changes,1
molecular weight distribution,4
molecular weight of glycinin,1
molecular weight pattern,1
molecular weight protein bands,3
molten globule state,1
more compact gel network,1
more continuous filamentous networks with reduced aggregation,1
more homogeneous network,1
"more homogeneous, finer gel network structure",1
more stable and ordered secondary structure,1
more uniform dispersion,1
more uniform gel pores,1
morphological alteration,1
native beta-sheet content,2
native state of the protein,1
near-ultraviolet circular dichroism positive-band intensity,1
network cross-linking density,1
network structure,1
network structure homogeneity and density,2
network uniformity and density,1
new aggregates,1
new chemical groups,1
new crystalline structures,1
new fourier-transform infrared spectroscopy peak,1
non-discrete peptides,1
non-mobile water proportion (P21),1
number of cells,3
number of holes,4
onset gelatinization temperature,1
onset gelling temperature (T gel),4
onset temperature,8
ordered aggregation,1
ordered and compact network structure,1
ordered microstructure,1
ordered secondary structure,1
ordered structures,2
overall conformation,2
overall protein structure,1
oxygen-containing structures,1
parallel β-sheet content,1
partial breakage of insoluble dietary fibre into smaller soluble fibre chains,1
partial coalescence in the emulsion microstructure,1
partial conversion of insoluble dietary fibre to soluble polysaccharides,1
partial denaturation,1
partial protein denaturation,5
partial protein unfolding and aggregation,2
partial unfolding,3
partial unfolding of secondary structure,1
particle aggregation,5
peak denaturation temperature,9
peak gelatinization temperature,2
peak gelatinization temperature and enthalpy change,1
peak intensity at 1535 cm−1,2
peak intensity at 2924 cm−1,1
phosphate groups in protein molecules,1
phosphate groups in soy protein isolate molecules,1
plate-like morphology,1
polymer formation,2
polypeptide composition,3
polypeptide degradation into smaller fragments,1
pore depth,1
pore formation and fragmentation of protein particles,1
pore size,3
pore structure,1
pore-like structure,1
pores and irregular melt conformations in lamellar structure,1
pores and melt conformations,1
pores in gel structure,1
porosity,3
porous network morphology,1
primary chemical bonds of the protein backbone,1
primary structure,6
primary structure changes,1
protein aggregates,3
protein aggregation,38
protein aggregation and formation of new chemical bonds,1
protein aggregation and subunit splitting,1
protein aggregation during heating and gelation,1
protein backbone alterations,1
protein band intensity,4
protein band intensity at 17 kDa,1
protein band pattern,3
protein band profile,1
protein bands <25 kDa,3
protein bands >35 kDa,1
protein bodies,1
protein compaction,1
protein conformation change,4
protein cross-linking and aggregation,1
protein cross-links,1
protein degradation,3
protein denaturation and unfolding,46
"protein denaturation, aggregation, and crosslinking",1
protein depolymerization,1
protein dissociation into lower molecular weight fragments,3
protein folding and unfolding,1
protein fragmentation,3
protein matrix structure,1
protein molecular conformation,1
protein molecular structure unfolding,1
protein molecule shrinkage and deformation,1
protein particle aggregation,1
protein particle connection,1
protein profile,4
protein reassembling phenomena,1
protein structural alterations,1
protein structural unfolding,2
protein structure,1
protein structure expansion,1
protein structure folding,1
protein subunit fragmentation,1
protein unfolding,2
protein-concentrated microdomains caused by excluded-volume effects,1
protein-fat agglomeration,1
protein-pectin aggregation,1
protein-protein interactions,2
radius of gyration,1
random coil,13
random coil conformation,1
random coil content,51
random coil proportion,1
random coil structure,6
random coiling of protein structure,1
random-coil structural changes,1
reactive sulfhydryl content,1
red shift in maximum emission wavelength of tryptophan,1
relative crystallinity,3
relative fluorescence intensity,7
relatively loose protein structure,2
residual denaturation enthalpy,2
residual high-molecular-weight smear after reduction,1
rigid lamellar structure,1
"rough, porous, and disordered surface microstructure",1
rupture of native structures into smaller fragments,1
secondary and tertiary structure alterations,1
secondary protein structure,1
secondary structure,43
secondary structure alterations and modifications,5
secondary structure changes,1
secondary structure disorganization,1
secondary structure rearrangement,1
segregative phase separation between glutelins and alkali-soluble cell wall dietary fibres,1
selective protein breakdown,1
sheet structures,2
signal intensity,2
single endothermic peak,1
size of holes,1
small molecular weight fractions (<1000 Da),2
smaller oil droplets,2
smaller protein aggregates,1
smoother and more compact surface microstructure,1
smoother biomass surface,3
sodium dodecyl sulfate-polyacrylamide gel electrophoresis band intensity,1
sodium dodecyl sulfate-polyacrylamide gel electrophoresis band pattern,3
sodium dodecyl sulfate-polyacrylamide gel electrophoresis band profile,1
sodium dodecyl sulfate-polyacrylamide gel electrophoresis pattern with reducing and non-reducing conditions,2
soluble protein aggregates,1
solvent accessible surface area,1
spatial protein conformation change,1
spectral profiles,1
spherical particle structure,1
stability,3
stable calcium–peptide complexes,1
stable cohesive films around the air vacuoles,1
stable complexes,2
starch and protein structure and interactions,1
starch granule and protein matrix microstructure,2
starch granule structure,2
starch granule swelling,1
starch granules,1
steric hindrance,1
storage protein composition and aggregation behavior,1
stronger hydrogen bonds,1
structural aggregation,1
structural alterations,2
structural and conformational modifications,2
structural changes,6
structural changes in the protein,1
structural deterioration,1
structural disorder,1
structural instability,1
structural integrity,1
structural rearrangement,3
structural stability,3
structural unfolding,2
structured solution,1
subunit aggregation,2
subunit bands,1
subunit composition,2
sulfhydryl group content,13
sulfhydryl groups-group content,1
sulfhydryl groups-groups,1
sulfhydryl-disulfide bond conversion,1
supramolecular assemblies,1
surface characteristics,1
surface irregularities,1
surface morphology,2
surface pore size and density,1
surface roughness,3
"surface striations, cracks, and cavities",1
t2,1
ternary conformation,2
tertiary and quaternary structural alterations,1
tertiary and quaternary structures,1
tertiary conformation,1
tertiary structure,1
tertiary structure modification,3
tertiary structure unfolding,1
thermal behavior,2
thermal denaturation,1
thermal denaturation temperature,6
thermal energy requirement,1
thermal properties,4
thermal stability,37
thermal transition temperature,5
thermodynamic stability,3
thiol-disulfide bond conversion capacity,1
three-dimensional gel network,1
three-dimensional protein conformation,1
tightly packed cells,1
tiny protein particles,1
total alpha-helix and beta-sheet content,1
total sulfhydryl content,14
total sulfhydryl groups,6
transformation of alpha-helix and beta-sheet into beta-turn and random coil,1
transition temperature,2
transverse relaxation behavior,1
transverse relaxation time,10
transverse relaxation time of immobilized water,2
tryptophan emission maximum,2
tryptophan exposure to a hydrophilic environment,1
tryptophan intrinsic fluorescence intensity,1
two endothermic transitions,1
types of dominant intermolecular forces,1
ultraviolet absorption peak intensity,8
uneven particle surface morphology,1
unfolded and flexible secondary structures (β-turn and random coil),1
unfolded protein content,1
unfolding of peanut protein isolate molecules,2
uniform porous network structure,2
"uniform, dense, and ordered continuous network structure",1
unordered structure content,2
unordered structure proportion,1
vicilin and edestin band saturation,1
void pore size,1
wavelength of maximum fluorescence intensity,2
weak differential scanning calorimetry endothermic response,1
wider molecular weight distribution,1
wrinkled and folded morphology,1
x-ray diffraction peak intensity,2
yield of >50 kDa protein aggregates,2
α-helix structure,1
α-helix/random-coil content,1
β-conglycinin band intensity,1
β-corner and irregular coil structure,1
β-fold structure content,2
β-sheet,3
β-sheet and α-helix structures,1
β-sheet component,2
β-sheet content,13
β-sheet structure,1
β-turn,2
β-turn and irregular coil content,4
β-turn and random-coil content,2
β-turn content,8
β-turn secondary structure proportion,2
β-turn structures,1
