name,occurrence_count
cashew flour,2
cashew full fat seed flour,1
cashew nut glutelin,2
cashew nut protein concentrate obtained from mechanical-pressing-defatted flour,1
cashew nut protein concentrate protein concentrates-A (defatting method unspecified),2
cashew nut protein fractions,4
cashew nut protein isolate,70
cashew nut protein isolates and concentrates,1
cashew nut proteins,2
cashew protein concentrate,65
cashew protein concentrates produced by mechanical pressing and hexane extraction,4
chaotropic Hofmeister salts,1
chaotropic anions,4
chaotropic salts,23
chemical acidification,1
chia,2
chia protein,7
chicken egg powder,3
chickpea full fat seed flour,1
chickpea protein isolate,22
coconut cake,1
coconut milk cake,6
coconut milk cake glutelin,2
coconut milk cake protein powder,19
coconut oil cake,6
coconut oil cake glutelin,2
coconut oil cake protein powder,13
coconut oil cake protein powders,8
coconut protein,4
combined α and α′ subunit deficiency,2
commercial butylated hydroxytoluene,1
commercial corn peptides,4
commercial pea protein isolate B9,5
commercial pea protein isolate E86 HV,4
commercial pea protein isolate EPI 80,1
commercial pea protein isolate M9,2
"commercial pea protein isolates LS, C9, E86, and PP80%",1
commercial plant protein isolates,5
commercial plant protein powders,2
"commercial protein ingredients from soybeans, peas, and fava beans",2
commercial proteins,6
commercial soy protein,2
commercial soy protein concentrate (commercial soy protein concentrate),1
commercial soy protein isolate,15
commercial starter culture SC1,2
commercial starter culture SC2,2
commercial starter culture SC3,2
commercial starter culture SC5,1
common bean concentrate,4
common bean flour,7
common bean protein concentrate,15
composite acid gels,1
control cake containing whole egg powder,2
control egg-protein cake,3
control gel,3
control whole egg powder protein ingredient,17
conventional alkali-extraction and acid-precipitation method,1
conventional heating,9
conventional hot air drying,5
cooking and autoclaving,1
"corilagin, 6-O-caffeoyl-d-glucose, and dihydroxyacetophenone",1
corn germ meal albumin,28
cowpea flour,2
cowpea protein concentrate,2
cowpea protein isolate,3
cowpea seed,1
cowpea seed proteins,8
cultivar,1
cupuassu defatted flour,5
cupuassu protein concentrate,13
cupuassu protein isolate,16
curdlan gum,7
deamidated pea protein gel with high calcium level,1
deamidated pea protein gel with moderate calcium level,1
deamidated pea protein isolate,2
defatted Brazil nut flour,2
defatted cashew nut powder,40
defatted cashew nut shell protein isolate,2
defatted corn protein,1
defatted cupuassu flour,3
defatted cupuassu flour and cupuassu protein concentrate,3
defatted groundnut flour,2
defatted macadamia flour,2
defatted mustard meal protein isolate,6
defatted peanut flour,2
defatted pecan flour,2
defatted soybean flour,1
defatted walnut flour,11
deflavoured faba bean protein concentrate,38
deflavoured faba bean protein concentrate cake,1
deoiled soybean,2
dried gingerbread plum seed flour,2
dry-fractionated chickpea protein concentrate,5
dry-fractionated faba bean concentrate,1
dry-fractionated mung bean concentrate,2
dry-fractionated protein ingredients,1
dry-fractionated proteins excluding chickpea protein concentrate,1
dry-fractionated pulse proteins,12
dry-fractionated yellow pea concentrate,1
edestin proportion,1
egg white,1
enzyme-assisted alkaline extraction,1
ethanol-soluble protein,1
extruded corn gluten meal digestion product,1
faba bean,3
faba bean cultivars,1
faba bean flour,8
faba bean protein,8
faba bean protein concentrate,50
faba bean protein concentrate cake,2
faba bean protein isolate,72
faba bean protein isolate gel,1
faba bean protein isolate-pectin-sucrose gels,2
faba bean protein isolate/high methoxyl pectin mixture,1
"faba bean, pea, lentil, and soy protein isolates",1
fava bean concentrate,3
fava bean protein powders,1
fava bean protein samples,1
fermented protein derived from Zanthoxylum bungeanum seeds,3
filler-type network structure,1
flaxseed protein isolate,13
flaxseed protein isolate coatings,5
"formaldehyde, ammonia, methylene dipropionate, acetic acid, and propionic acid treatments",1
freeze-dried gingerbread plum seed protein isolate,4
freeze-dried quinoa protein,4
frozen-thawed egg white,1
full-fat soybean flour,1
gel samples,1
gellan gum,23
gellan gum and low NaCl concentrations,3
gellan gum and sodium chloride,7
gels from spray-dried and vacuum-dried quinoa proteins,2
gingerbread plum seed protein isolate,7
gingerbread plum seed protein isolate (vacuum dried gingerbread plum seed protein isolate),2
gingerbread seed protein isolates,1
globulin,15
globulin fraction,15
globulins,3
glucose,10
glutelin,18
glutelin fraction,12
gluten,3
glycinin-dominant soy protein isolates,3
grain legume protein isolates,3
green pea protein isolate,1
groundnut protein concentrate,2
groundnut protein isolate,2
guar gum,13
guar gum addition,9
hazelnut full fat seed flour,1
heat treatment (72–92 °C for 20 min),1
heated and cooled native pea protein gels,1
hemp biomass protein,37
hemp protein,20
hemp protein concentrates,1
hemp protein isolate,15
hemp protein isolate from cultivar M,1
hemp protein isolate sample G,1
hemp protein isolate samples,6
hemp protein isolates,3
hemp seed cultivar G,2
hemp seed cultivar L,2
hemp seed cultivar P,1
"hemp seed protein isolates from commercial hemp cultivars, a Cornell breeding line, and a commercial hemp heart product",4
hemp seed protein isolates from other tested hemp cultivars and products,1
hexane-deoiled lupin,2
hexane-deoiled lupin protein isolates,4
hexane-deoiled soybean,2
high albumin concentration,1
high edestin concentration,2
high methoxyl pectin addition,5
high vicilin and albumin proportions,1
highly aggregated soy protein isolates,2
hydrochloric acid precipitation,30
indica rice bran protein,4
individual pH-shifting and ultrasonication treatments,3
"individual ultrasound treatments, individual high-pressure treatments, and conventional extraction",5
jackfruit seed protein isolate,13
jackfruit seed protein isolate treated with ultrasound,4
japonica rice bran protein-catechin covalent complex,2
jujube pomace protein isolate (ZPI) (protein isolate),5
konjac glucomannan,10
konjac gum,2
kosmotropic Hofmeister salts,1
kosmotropic anions,4
kosmotropic salts,21
lactose,7
legume cultivar,1
legume protein isolates,1
legume proteins,2
legume source,1
lentil protein isolate,20
lentil protein powder,1
lupin protein,5
lupin protein concentrate,1
lupin protein isolate,7
lupin protein isolate E,6
lupin protein isolate E separated by alkaline extraction and isoelectric precipitation,1
lupin protein isolate F,7
lupin protein isolate F recovered by acid extraction and ultrafiltration,1
lupin samples,1
macadamia full fat seed flour,1
macadamia nut flour,2
magnesium and calcium cations,2
magnesium cations,6
material designated Pinus halepensis protein concentrate,2
membrane soy concentrate,7
metal cations,26
methyl butyrate,2
milk seed protein,1
millet full fat seed flour,1
modified chickpea protein (SU3),2
modified chickpea protein (succinylated chickpea protein),2
modified pea proteins,3
mucuna protein,1
mung bean albumin,8
mung bean protein ingredient,2
n-hexane extraction,16
nanoscale aggregates,2
native chickpea protein,10
native soy protein isolate,9
natural low-methoxyl pectin from Ficus awkeotsang Makino,3
non-defatted black gram flour,1
non-defatted chickpea flour,1
non-defatted soybean flour,2
non-volatile compounds,1
oat protein ingredient,3
olive oil,1
one-step enzymatic hydrolysis,1
original faba bean protein concentrate,2
"original hemp, flax and canola oilseed cakes",1
other assessed plant proteins,8
other bamboo shoot protein isolate samples,2
other cashew nut protein fractions and protein isolate,2
other chickpea protein isolates,10
other commercial protein ingredients,1
other enzymatic hydrolysis treatments,3
other evaluated protein sources,1
other fractions,1
other hemp protein isolate samples,1
other peanut protein products,9
other plant proteins,9
other proteins,2
other pulse proteins,2
other resin washes,2
other soy protein isolate types,1
other vegetable proteins,3
other wet-fractionated proteins,2
pea,1
pea flour,1
pea protein,43
pea protein aggregate formed at pH 9.0,1
pea protein concentrate,32
pea protein emulsion,3
pea protein gel,4
pea protein gel with low protein and calcium levels,1
pea protein ingredient,4
pea protein isolate,86
pea protein isolate (PP80%),1
pea protein isolate concentration in pea protein isolate/sodium caseinate blends,3
pea protein isolate gel,1
pea protein isolate powders,3
pea protein isolate produced by alkaline extraction,1
pea protein isolate/sodium caseinate blend composition,12
pea protein isolate/sodium caseinate gel6,5
pea protein isolates,10
pea protein samples,1
"pea, faba bean, and soy protein isolates",1
pea-soluble protein extract addition,17
pea-soluble protein fraction,2
pea-soluble proteins,2
peanut flour,2
peanut full fat seed flour,1
peanut oil,1
peanut protein,16
peanut protein concentrate,4
peanut protein concentrate suspension from roasted peanut flour,1
"peanut, soybean and lupin protein isolates and concentrates",1
pecan flour,2
pecan full fat seed flour,1
pellicle-free walnut protein isolate,3
peptides or amino acids,1
perilla meal protein,10
perilla meal protein reported by He et al. (2018),1
perilla meal protein reported by Singh et al. (2025),1
perilla protein extracted using alkali and acidic solutions,1
perilla protein isolate,7
perilla protein isolate from cold-pressing residues,13
perilla protein isolate from cold-pressing residues nanoparticle-stabilized emulsion,4
perilla protein isolate from hot-pressing residues,7
perilla protein isolate from hot-pressing residues nanoparticle-stabilized emulsion,1
perilla protein isolate from solvent-extraction residues,9
perilla protein isolate from solvent-extraction residues nanoparticle-stabilized emulsion,1
physical guar gum-pea protein mixture,6
pigeon pea protein,2
pigeon pea protein isolate,1
pistachio full fat seed flour,1
plant protein isolates,2
potassium cations,5
potato protein,24
potato protein concentrate,8
potato protein isolate,18
potato protein isolate and grain legume protein isolate blend,3
potato protein isolate gel,1
pound cake designated control whole egg powder,6
pound cake formulated with faba bean protein concentrate,13
precipitated pinto bean protein,10
precipitated protein,1
pressing extraction,2
prolamin films,2
prolamin fraction,9
prolamin from distiller’s grains,6
propionic acid,2
protein concentrate,15
protein concentrate produced by aqueous extraction,1
protein concentrate produced by hexane extraction,1
protein concentrate produced by mechanical pressing,1
"protein ingredients from soybeans, peas, fava beans, and common beans",2
protein isolate,3
protein isolate (African locust bean protein isolate),2
protein isolate (perilla protein isolate),2
protein isolate from defatted cashew nut shell,3
protein isolates from other plant sources,3
protein sample designated RF,3
protein sample designated RGM,3
protein sample designated WF,3
protein sample designated WGM,3
proteins from other drying methods,1
pulse protein isolates,1
pumpkin protein,3
pumpkin seed protein,6
purified glycinin peptide,1
quinoa flour,18
quinoa germ fraction,2
quinoa germ fractions,1
quinoa germ protein concentrate,2
quinoa processing side-stream,2
quinoa protein concentrate,36
quinoa protein isolate,2
quinoa side-stream material,14
rapeseed and walnut oils,2
rapeseed oil,2
reducing agent,1
riboflavin-loaded whey protein isolate gels,2
rice full fat seed flour,1
rice protein,10
rice protein isolate,5
rice protein isolate–lupine protein isolate blend,1
rice protein isolate–pea protein isolate blend,1
rice protein isolate–soy protein isolate blend,1
rice-grain legume protein isolate blends,2
roasted peanut flour,2
safflower seed meal,6
safflower seed meal globulin,11
sericin,16
sericin addition,50
sericin incorporation,8
sesame cultivar Kenana 1,1
sesame full fat seed flour,1
sesame protein extract,1
sesame protein isolate,4
sesame seed,1
side-stream ingredient,6
single-frequency and triple-frequency ultrasonication,1
small polypeptides,1
smaller peptides,1
smaller protein fractions,1
sodium caseinate,10
sodium cations,5
sodium iodide,1
sodium perchlorate,1
sodium sulfate,8
sodium thiocyanate,11
soluble protein fraction,2
solvent extraction,21
sophia protein isolate,4
sorghum flour proteins,30
sorghum gluten meal protein,14
sorghum gluten meal protein isolate,9
sorghum gluten meal proteins,3
sorghum proteins,2
sorghum proteins and wheat gluten,2
sorghum proteins from sorghum gluten meals,2
sorghum-based protein sources,6
sorghum-isolated proteins,1
sour cherry kernel protein concentrate,16
soy flour,6
soy protein,11
soy protein cold-set gel,8
soy protein concentrate,13
soy protein ingredient,5
soy protein isolate,201
soy protein isolate SP-10,1
soy protein isolate SP-18,2
soy protein isolate SP-4,1
soy protein isolate SP-5,1
soy protein isolate SP-7,1
soy protein isolate and pea protein isolate,2
soy protein isolate dispersions,1
soy protein isolate from genotype SP-10,2
soy protein isolate from genotype SP-13,2
soy protein isolate from genotype SP-15,2
soy protein isolate from genotype SP-18,4
soy protein isolate from genotype SP-4,7
soy protein isolate from genotype SP-5,3
soy protein isolate from genotype SP-7,2
soy protein isolate gel,2
soy protein isolate genotypes,3
"soy protein isolate genotypes SP-1, SP-2, SP-3, and SP-9",1
"soy protein isolate genotypes SP-1, SP-2, SP-4, and SP-6",1
"soy protein isolate genotypes SP-1, SP-3, and SP-5",1
"soy protein isolate genotypes SP-3, SP-7, SP-10, SP-18, and SP-19",1
soy protein isolate lacking α-subunit,6
soy protein isolate lacking α′-subunit,11
soy protein isolate powder (soy protein isolate A),1
soy protein isolate powder (soy protein isolate B),1
soy protein isolate powder (soy protein isolate C),1
soy protein isolate powder (soy protein isolate D),1
soy protein isolate powder (soy protein isolate E),1
soy protein isolate sample A,1
soy protein isolate sample B,1
soy protein isolate sample D,3
soy protein isolate sample E,1
soy protein isolate suspension,2
"soy protein isolate, soy protein concentrate, and pea protein",1
soy protein isolate-Fenugreek gum conjugates,1
soy protein isolate/black protein concentrate complex,21
soy protein isolate/black protein concentrate particles,1
soy protein isolates from genotypes with balanced 11S/7S profiles and higher conformational accessibility,2
soy protein isolate–glucose gel,4
soy protein isolate–lactose gel,5
soy protein isolate–sucrose gel,4
soy protein powder,2
soy/potato protein isolate complex gel,2
soybean 7S and 11S globulins,1
soybean 7S globulin,1
soybean full fat seed flour,1
soybean genotype,7
soybean genotype N14–7017,1
soybean genotype N16–10044,2
soybean genotype N16–10075,3
soybean genotype N16–9124,2
soybean genotype N16–9211,1
soybean genotype NC-Raleigh,2
soybean genotype SP-10,4
soybean genotype SP-13,2
soybean genotype SP-16,1
soybean genotype SP-17,1
soybean genotype SP-18,3
soybean genotype SP-19,1
soybean genotype SP-4,4
soybean genotype SP-5,2
soybean genotype SP-7,2
soybean genotypes SP-4 and SP-5,2
"soybean genotypes SP-6, SP-7, SP-11, SP-16, and SP-17",1
soybean genotypes SP-7 and SP-17,1
soybean protein,7
soybean protein hydrolysates,1
soybean protein isolate (SPI) (protein isolate),5
soybean protein isolate from genotype SP-1,1
soybean protein isolate from genotype SP-11,1
soybean protein isolate from genotype SP-12,1
soybean protein isolate from genotype SP-14,1
soybean protein isolate from genotype SP-16,1
soybean protein isolate from genotype SP-17,1
soybean protein isolate from genotype SP-19,1
soybean protein isolate from genotype SP-2,1
soybean protein isolate from genotype SP-20,1
soybean protein isolate from genotype SP-3,1
soybean protein isolate from genotype SP-6,1
soybean protein isolate from genotype SP-8,1
soybean protein isolate from genotype SP-9,1
soybean protein isolate gel from genotype SP-1,1
soybean protein isolate gel from genotype SP-10,1
soybean protein isolate gel from genotype SP-11,1
soybean protein isolate gel from genotype SP-12,1
soybean protein isolate gel from genotype SP-13,1
soybean protein isolate gel from genotype SP-14,1
soybean protein isolate gel from genotype SP-15,1
soybean protein isolate gel from genotype SP-16,1
soybean protein isolate gel from genotype SP-17,1
soybean protein isolate gel from genotype SP-18,1
soybean protein isolate gel from genotype SP-19,1
soybean protein isolate gel from genotype SP-2,1
soybean protein isolate gel from genotype SP-20,1
soybean protein isolate gel from genotype SP-3,1
soybean protein isolate gel from genotype SP-4,1
soybean protein isolate gel from genotype SP-5,1
soybean protein isolate gel from genotype SP-6,1
soybean protein isolate gel from genotype SP-7,1
soybean protein isolate gel from genotype SP-8,1
soybean protein isolate gel from genotype SP-9,1
soybean protein isolates with elevated antiparallel β-sheet content,1
soybean protein isolates with higher fractions of unordered structures,1
soybean protein isolates with intermediate enthalpy values,1
soybean samples,1
soybean seed protein concentrate,8
spray-dried peanut protein concentrate from fermented peanut flour,6
spray-dried quinoa protein,1
stable pea protein isolate/sodium caseinate dispersions,1
steam injection heating extraction,4
succinylated bambarra groundnut protein concentrate,2
succinylated chickpea protein,4
sucrose,8
sugars,14
sunflower protein,3
sunflower protein isolate,22
sunflower seed protein concentrate,20
sunflower seed protein meal,15
"sunflower, olive and peanut oils",4
"sunflower, olive, rapeseed, peanut and walnut oils",3
supernatant protein powder from coconut milk cake,3
supernatant protein powder from coconut oil cake,3
tamarind seed powder,2
thermal processing,9
total cowpea protein,4
total sesame protein isolate,1
transglutaminase-induced gelation,1
unmodified pea protein,2
untreated chickpea protein isolate,1
untreated tamarind seed protein isolate,2
urea solution,1
vacuum drying,41
vacuum oven drying,2
vacuum-dried gingerbread plum seed protein isolate,1
vacuum-dried quinoa protein,8
vegetable proteins,1
vicilin proportion,3
walnut full fat seed flour,1
walnut glutelin,1
walnut oil,2
walnut polyphenols,29
walnut protein concentrate,14
walnut protein isolate,10
walnut protein isolate glutelin,1
wampee seed protein,14
water-soluble protein,1
wet fractionation,19
wet-fractionated chickpea protein isolate,6
wet-fractionated mung bean protein isolate,1
wet-fractionated protein ingredients,1
wet-fractionated proteins,6
wet-fractionated pulse proteins,1
wet-fractionated soy protein concentrate,6
wheat bran protein mixture,5
wheat full fat seed flour,1
wheat germ powder,6
wheat germ protein isolate,10
wheat gluten,11
wheat protein,3
"wheat, oat, pea, and fava bean protein powders",1
white bean protein concentrate,24
white bean protein isolate,9
white common bean flour,1
white common bean protein isolate,9
white common bean protein isolate dispersions,1
white common bean protein isolate-guar gum dispersion,1
white common bean proteins,3
white sorghum flour protein isolate,2
white sorghum flour proteins,1
whole egg powder,2
whole maize grain,2
xanthan,4
yeast protein,5
yellow pea,1
yellow pea flour,1
zein,1
α subunit deficiency,1
α- and α′-subunit-lacking soy protein isolate,2
α-lacking soy protein isolate gel,4
α′ subunit deficiency,11
α′-lacking soy protein isolate gel,19
