name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
cream destabilisation percentage,1,False,False,,,False,,
creaming index,7,False,False,,,False,,
creaming layer height,1,False,False,,,False,,
creaming stability,1,False,False,,,False,,
decay percentage,1,False,False,,,False,,
deformation resilience,1,False,False,,,False,,
dense elastic gel network structure,1,False,False,,,False,,
denser and more uniform gel network structure,1,False,False,,,False,,
digestibility,3,False,False,,,False,,
digestive properties,1,False,False,,,False,,
dispersibility,16,False,False,,,False,,
dispersion properties,1,False,False,,,False,,
distinct structural and functional attributes,1,False,False,,,False,,
drip loss,2,False,False,,,False,,
elastic moduli,1,False,False,,,False,,
elastic modulus (G0),1,False,False,,,False,,
elastic modulus G′,6,False,False,,,False,,
elastic properties,1,False,False,,,False,,
emulsification,6,False,False,,,False,,
emulsification activity,280,False,False,,,False,,
emulsification characteristics,1,False,False,,,False,,
emulsification properties,57,False,False,,,False,,
emulsification stability index,172,False,False,,,False,,
emulsifying activity index,220,False,False,,,False,,
emulsifying activity/capacity,1,False,False,,,False,,
emulsifying capacity and stability,1,False,False,,,False,,
emulsifying index,1,False,False,,,False,,
emulsifying performance,1,False,False,,,False,,
emulsifying potential,1,False,False,,,False,,
emulsion activity,18,False,False,,,False,,
emulsion activity index,3,False,False,,,False,,
emulsion capacity,25,False,False,,,False,,
emulsion formation,5,False,False,,,False,,
emulsion properties,2,False,False,,,False,,
emulsion separation rate,3,False,False,,,False,,
emulsion stability,159,False,False,,,False,,
encapsulation efficiency,1,False,False,,,False,,
environmental impact,1,False,False,,,False,,
extraction efficiency,15,False,False,,,False,,
extraction rate,3,False,False,,,False,,
extraction yield,28,False,False,,,False,,
fat absorption,1,False,False,,,False,,
fat absorption capacity,2,False,False,,,False,,
fat-binding capacity,4,False,False,,,False,,
fat-holding capacity,1,False,False,,,False,,
ferric reducing antioxidant power,3,False,False,,,False,,
ferrous ion chelating ability,1,False,False,,,False,,
final storage modulus,3,False,False,,,False,,
firm gel formation,8,False,False,,,False,,
flow point stress,1,False,False,,,False,,
foam density,5,True,False,functional_property=4; rheological_property=1,llm,True,high,Foam density is primarily discussed as a functional performance outcome in food systems.
foam formation,1,False,False,,,False,,
foam formation capacity,4,False,False,,,False,,
foam half-life,1,False,False,,,False,,
foam overrun,2,False,False,,,False,,
foam stability,179,False,False,,,False,,
foam standing time,4,False,False,,,False,,
foam volume,1,False,False,,,False,,
foam-forming ability,10,False,False,,,False,,
foamability,3,False,False,,,False,,
foaming,2,False,False,,,False,,
foaming capacity,373,False,False,,,False,,
foaming performance,1,False,False,,,False,,
foaming properties,38,False,False,,,False,,
foaming stability,93,False,False,,,False,,
foaming stability index,3,False,False,,,False,,
foaming time,1,False,False,,,False,,
forming properties,1,False,False,,,False,,
free radical scavenging rate,1,False,False,,,False,,
frequency dependency,1,False,False,,,False,,
friction,3,False,False,,,False,,
functional characteristics,1,False,False,,,False,,
functional properties,29,False,False,,,False,,
functionality,1,False,False,,,False,,
fungal growth,1,False,False,,,False,,
gel ability,2,False,False,,,False,,
gel elasticity,11,False,False,,,False,,
gel extensibility,1,False,False,,,False,,
gel formation,21,False,False,,,False,,
gel formation capacity,1,False,False,,,False,,
gel formation with self-supporting properties,6,False,False,,,False,,
gel integrity,1,False,False,,,False,,
gel lubrication,2,False,False,,,False,,
gel network deterioration,1,False,False,,,False,,
gel network formation,5,False,False,,,False,,
gel network strength,1,False,False,,,False,,
gel properties,17,False,False,,,False,,
gel recovery rate,1,False,False,,,False,,
gel rigidity,2,False,False,,,False,,
gel stiffness (G′1 rad/s),7,False,False,,,False,,
gel strength (G′1 rad/s),2,False,False,,,False,,
gel strength and elasticity,1,False,False,,,False,,
gel strength and yield strain,1,False,False,,,False,,
gel structure,1,False,False,,,False,,
gel-forming ability,13,False,False,,,False,,
gel-like characteristics,2,False,False,,,False,,
gel-like structures,1,False,False,,,False,,
gel-like texture,1,False,False,,,False,,
gelation,50,False,False,,,False,,
gelation ability,3,False,False,,,False,,
gelation behavior,2,False,False,,,False,,
gelation capacity,13,False,False,,,False,,
gelation concentration,91,False,False,,,False,,
gelation lag phase,1,False,False,,,False,,
gelation property,37,False,False,,,False,,
gelation rate,1,False,False,,,False,,
gelation tendency,1,False,False,,,False,,
gelation time,5,True,True,functional_property=3; rheological_property=2,llm,True,high,Gelation time is discussed as a performance outcome in food systems.
gelling,1,False,False,,,False,,
gelling property,4,False,False,,,False,,
germination index,1,False,False,,,False,,
germination rate,2,False,False,,,False,,
heart and liver steatosis and inflammatory injury,1,False,False,,,False,,
heat induced gel property,1,False,False,,,False,,
heat-induced gelation capacity,1,False,False,,,False,,
hydration characteristics,1,False,False,,,False,,
hydration properties,2,False,False,,,False,,
hydroxyl radical scavenging ability,7,False,False,,,False,,
hydroxyl radical scavenging clearance,1,False,False,,,False,,
immunological reactivity of Lup an 1,1,False,False,,,False,,
in vitro digestibility,2,False,False,,,False,,
in vitro digestibility in the gastrointestinal tract,5,False,False,,,False,,
in vitro intestinal digestibility,3,False,False,,,False,,
in vitro protein digestibility,28,False,False,,,False,,
inhibition zone against E. coli,1,False,False,,,False,,
inhibition zone against S. aureus,1,False,False,,,False,,
interfacial adsorption,1,False,False,,,False,,
interfacial elasticity,1,False,False,,,False,,
interfacial flexibility,1,False,False,,,False,,
interfacial functionality,1,False,False,,,False,,
interfacial properties,2,False,False,,,False,,
interfacial reactivity,1,False,False,,,False,,
interfacial stability,2,False,False,,,False,,
interfacial tension reduction ability,3,False,False,,,False,,
least gel concentration,4,False,False,,,False,,
least gelling concentration,3,False,False,,,False,,
lipoxygenase activity,6,False,False,,,False,,
lipoxygenase residual activity,1,False,False,,,False,,
low emulsifying activity index,1,False,False,,,False,,
low solubility,1,False,False,,,False,,
lysine as the limiting essential amino acid,1,False,False,,,False,,
metal chelating capacity,2,False,False,,,False,,
microbial count,1,False,False,,,False,,
microbial growth,1,False,False,,,False,,
minimum gelling concentration,9,False,False,,,False,,
modulus,1,False,False,,,False,,
more stable gel network structure,1,False,False,,,False,,
nitrogen solubility,13,False,False,,,False,,
nitrogen solubility index,8,False,False,,,False,,
nutritional quality,1,False,False,,,False,,
oil absorption,1,False,False,,,False,,
oil absorption capacity,36,False,False,,,False,,
oil adsorption capacity,2,False,False,,,False,,
oil binding capacity,21,False,False,,,False,,
oil extraction yield,3,False,False,,,False,,
oil holding capacity,341,False,False,,,False,,
oil retention,1,False,False,,,False,,
oil retention capacity,2,False,False,,,False,,
oil-in-water emulsion formation,4,False,False,,,False,,
oil–water retention,1,False,False,,,False,,
onset gelling temperature,1,False,False,,,False,,
other,3,False,False,,,False,,
overall solubility,4,False,False,,,False,,
oxidation resistance,1,False,False,,,False,,
oxidative stability,1,False,False,,,False,,
physiological activity,2,False,False,,,False,,
positive correlation between foaming capacity and zeta potential at pH 7,1,False,False,,,False,,
potential to promote alcohol metabolism,1,False,False,,,False,,
powder solubility,2,False,False,,,False,,
predicted protein efficiency ratio,1,False,False,,,False,,
printing adaptability,1,False,False,,,False,,
product recovery,1,False,False,,,False,,
prolamin film formation,3,False,False,,,False,,
properties in colloidal and gel systems,1,False,False,,,False,,
protein aggregation and percolated protein network formation,1,False,False,,,False,,
"protein content, protein solubility, and water holding capacity",1,False,False,,,False,,
protein digestibility,6,False,False,,,False,,
protein dispersibility index,2,False,False,,,False,,
protein dispersion stability,1,False,False,,,False,,
protein gelation,1,False,False,,,False,,
protein in-vitro digestibility,1,False,False,,,False,,
protein isolate properties,1,False,False,,,False,,
protein production,2,False,False,,,False,,
protein quality and functionality,1,False,False,,,False,,
protein saturation at the air-water interface,1,False,False,,,False,,
protein solubility,118,False,False,,,False,,
protein-oil interactions,1,False,False,,,False,,
protein-water interactions,4,True,False,functional_property=3; physicochemical_property=1,llm,True,high,"Protein-water interactions are linked to solubility and gel properties, indicating a functional outcome."
quality,1,False,False,,,False,,
quality attributes,1,False,False,,,False,,
recovery rate,3,False,False,,,False,,
recovery yield,1,False,False,,,False,,
rehydration rate parameter B,6,False,False,,,False,,
relationship between carbohydrate content and protein extraction yield,1,False,False,,,False,,
riboflavin encapsulation rate,1,False,False,,,False,,
riboflavin release,5,False,False,,,False,,
riboflavin retention,4,False,False,,,False,,
rupture distance,2,False,False,,,False,,
rupture strength,2,False,False,,,False,,
rupture stress,1,False,False,,,False,,
self-supporting composite gel formation,1,False,False,,,False,,
self-supportive gel formation,2,False,False,,,False,,
"serum alkaline phosphatase, alanine aminotransferase, blood urea nitrogen, glucose, and total protein levels",1,False,False,,,False,,
shelf life,1,False,False,,,False,,
sinapine and glucosinolate removal efficiency,1,False,False,,,False,,
sodium cholate binding capacity,1,False,False,,,False,,
sol to gel transition,2,False,False,,,False,,
solid-like gels,1,False,False,,,False,,
solid-state gel formation,1,False,False,,,False,,
solubility,690,False,False,,,False,,
solubility after heat treatment,1,False,False,,,False,,
solubility index,4,True,False,functional_property=3; physicochemical_property=1,llm,True,high,The solubility index is consistently discussed alongside other functional properties like water holding capacity and oil holding capacity.
soluble protein content,10,True,True,functional_property=6; physicochemical_property=4,llm,True,high,"The entity 'soluble protein content' is consistently discussed in terms of its solubility behavior and performance in different conditions, aligning with the definition of a functional property."
spontaneous gelation,2,False,False,,,False,,
stability,3,True,False,structural_property=2; functional_property=1,llm,True,medium,"Stability is described as an outcome of ultrasonication, aligning with functional performance."
stable and ordered gel network structures,1,False,False,,,False,,
stable co-dispersions,1,False,False,,,False,,
stable dispersion,1,False,False,,,False,,
stable dispersions,1,False,False,,,False,,
stable reticular structure,1,False,False,,,False,,
storage time,2,False,False,,,False,,
stronger gel network,1,False,False,,,False,,
surface activity,7,False,False,,,False,,
surface dispersibility,2,False,False,,,False,,
surface elasticity,2,False,False,,,False,,
swelling capacity,4,False,False,,,False,,
swelling index,2,False,False,,,False,,
swelling ratio,2,False,False,,,False,,
syneresis,10,False,False,,,False,,
system stability,2,False,False,,,False,,
techno-functional properties,2,False,False,,,False,,
techno-functionality,4,False,False,,,False,,
total apparent viscosity shift,2,False,False,,,False,,
trypsin inhibition,1,False,False,,,False,,
trypsin inhibitor activity,3,False,False,,,False,,
trypsin susceptibility,3,False,False,,,False,,
tunable mechanical properties,1,False,False,,,False,,
viscoelastic moduli frequency dependence,1,False,False,,,False,,
volume of drained liquid,4,False,False,,,False,,
water absorption,3,False,False,,,False,,
water absorption capacity,59,False,False,,,False,,
water absorption index,3,False,False,,,False,,
water binding,1,False,False,,,False,,
water holding capacity,617,False,False,,,False,,
water holding capacity of the insoluble fraction,5,False,False,,,False,,
water hydration capacity,6,False,False,,,False,,
water imbibition capacity,9,False,False,,,False,,
water interaction capacity,1,False,False,,,False,,
water interactions,1,False,False,,,False,,
water loss rate,1,False,False,,,False,,
water retention,2,False,False,,,False,,
water retention capacity,1,False,False,,,False,,
water solubility,14,False,False,,,False,,
water solubility index,36,False,False,,,False,,
water vapor permeability,1,False,False,,,False,,
water-binding capacity,10,False,False,,,False,,
weak gel formation,1,False,False,,,False,,
"weak, brittle gel network",2,False,False,,,False,,
whipping time,7,False,False,,,False,,
yield,7,False,False,,,False,,
yield strain,4,False,False,,,False,,
